ticker,date,datetime,headline,summary,link,source,sentiment_label,sentiment_score,prob_positive,prob_negative,prob_neutral
AAPL,2026-06-14,2026-06-14 21:12:00,Apple's iOS 27 surprise could change the AI narrative,"AI is now the largest battleground in technology. Over the last two years investors have pumped hundreds of billions of dollars into firms promising to lead the next stage of the AI revolution. At Apple (AAPL), that talk has become more and more about the iPhone. Many experts have said AI might ...",https://www.thestreet.com/technology/apples-ios-27-surprise-could-change-the-ai-narrative?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1249,0.0285,0.8466
AAPL,2026-06-14,2026-06-14 19:10:06,Indian Pollution Probe Tests Apple Supply Chain And Valuation Gap,"Indian pollution regulators have accused Tata Electronics, a key Apple supplier, of contaminating local groundwater with wastewater. The probe focuses on a facility that plays an important role in producing iPhone components for Apple, listed as NasdaqGS:AAPL. Any regulatory action could affect operations at the plant and create complications for Apple's supply chain in India. For Apple, India has been a focus area for building out iPhone manufacturing capacity outside China, with local...",https://finance.yahoo.com/markets/stocks/articles/indian-pollution-probe-tests-apple-191006263.html?.tsrc=rss,Yahoo Finance RSS,negative,-0.8805,0.0285,0.8805,0.0911
AAPL,2026-06-14,2026-06-14 16:05:00,TechCrunch Mobility: SpaceX rockets past Tesla,"Welcome back to TechCrunch Mobility, your hub for the future of transportation and now, more than ever, how AI is playing a part.",https://finance.yahoo.com/sectors/technology/articles/techcrunch-mobility-spacex-rockets-past-160500362.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1673,0.0107,0.822
AAPL,2026-06-14,2026-06-14 13:05:00,"Given the News Out of WWDC, Was Warren Buffett Right to Sell Apple Stock?",Apple stock is up 50% since Berkshire Hathaway started unloading shares in mid-2023.,https://www.fool.com/investing/2026/06/14/after-wwdc-warren-buffett-right-sell-apple-stock/?.tsrc=rss,Yahoo Finance RSS,positive,0.9484,0.9484,0.0156,0.036
AAPL,2026-06-14,2026-06-14 12:03:00,Goldman Sachs resets Apple stock forecast after WWDC,"Apple has spent years trying to convince investors that its next major growth story will not depend only on a new iPhone. That effort has become more urgent as artificial intelligence reshapes the technology industry, with rivals including Google, Microsoft, OpenAI, and Meta moving faster with ...",https://www.thestreet.com/investing/goldman-sachs-resets-apple-stock-forecast-after-wwdc?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.1996,0.0357,0.7647
AAPL,2026-06-14,2026-06-14 10:05:00,Meet the Spectacular Vanguard ETF That Could Buy SpaceX Stock as Soon as June 19,The Vanguard Mega Cap Growth ETF owns a concentrated portfolio of America's largest companies.,https://www.fool.com/investing/2026/06/14/meet-vanguard-etf-could-buy-spacex-stock-june-19/?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.0918,0.0083,0.8999
AAPL,2026-06-13,2026-06-13 20:08:31,"Amazon Expands Satellite, Cloud And Robotics Investments As Valuation Gap Widens","Amazon.com (NasdaqGS:AMZN) plans to acquire Apple’s 20% stake in satellite operator Globalstar as part of an $11.6b satellite communications agreement tied to its Project Leo plans. The company also announced a new multi billion dollar AWS partnership with Pinterest, expanding its cloud reach into a major social media platform. In Europe, Amazon is rolling out a new generation of AI powered warehouse robots aimed at improving fulfillment efficiency and logistics capabilities. Amazon.com,...",https://finance.yahoo.com/markets/stocks/articles/amazon-expands-satellite-cloud-robotics-200831338.html?.tsrc=rss,Yahoo Finance RSS,positive,0.8634,0.8634,0.0072,0.1294
AAPL,2026-06-13,2026-06-13 15:42:40,Wall Street’s Top Billionaires Are Changing Their Mind About Apple (AAPL),"We just covered the Top 10 Stock Picks of 10 Famous Billionaires. Apple Inc. (NASDAQ:AAPL) ranks #4 (see Top 5 Stock Picks of 5 Famous Billionaires). Number of Hedge Funds: 170 Top Pick Of: Warren Buffett’s Berkshire Hathaway Apple was once seen as a laggard in the AI race. Now it is looking like a winner, […]",https://finance.yahoo.com/markets/stocks/articles/wall-street-top-billionaires-changing-154240546.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.0711,0.0323,0.8966
AAPL,2026-06-13,2026-06-13 15:42:37,Taiwan Semiconductor (TSM) is This Famous Billionaire’s Biggest AI Stock Holding,We just covered the Top 10 Stock Picks of 10 Famous Billionaires. Taiwan Semiconductor (NYSE:TSM) ranks #3 (see Top 5 Stock Picks of 5 Famous Billionaires). Number of Hedge Funds: 234 Top Pick Of: Philippe Laffont — Coatue Management Taiwan Semiconductor (NYSE:TSM) is the biggest holding of billionaire Philippe Laffont of Coatue Management. Taiwan Semiconductor (NYSE:TSM) […],https://finance.yahoo.com/markets/stocks/articles/taiwan-semiconductor-tsm-famous-billionaire-154237082.html?.tsrc=rss,Yahoo Finance RSS,neutral,0.0,0.036,0.0193,0.9447
AAPL,2026-06-13,2026-06-13 15:00:03,TSMC Revenue Surges 30% in May on Relentless AI Demand. TSM Stock Is Still Undervalued Here.,The world's most important chipmaker just gave investors another reason to believe the AI boom is far from over.,https://www.barchart.com/story/news/2455490/tsmc-revenue-surges-30-in-may-on-relentless-ai-demand-tsm-stock-is-still-undervalued-here?.tsrc=rss,Yahoo Finance RSS,positive,0.908,0.908,0.0664,0.0256
